advmean,advstd,curr_cr,curr_iter,curr_lr,elapsed_time,ev,expected_time,frac,opt_approxkl,opt_clipfrac,opt_ent,opt_pg_loss,opt_policy_loss,opt_vf_loss,retmean,retstd,rew_mean,vpredmean,vpredstd
0.0,0.9999998,0.1,0,0.0001,57.02963972091675,-0.17109894752502441,247.52447795536784,1.0,2.553513e-15,0.0,2.4287183,0.031388804,0.1717937,0.1428336,0.13467267,0.52748615,-0.001953125,0.18457672,0.33652234
-1.4901161e-08,0.99999976,0.1,1,0.0001,3.6098103523254395,-0.061119794845581055,15.667579654190275,0.999936,5.162537e-15,0.0,2.4202843,0.052349865,0.17409983,0.12417026,0.14032558,0.49522504,0.061523438,0.043714747,0.23816714
0.0,0.9999998,0.1,2,0.0001,3.7411599159240723,0.2597627639770508,16.23767324619823,0.999872,6.3282712e-15,0.0,2.423977,-0.029615276,0.0719367,0.10397595,0.09010935,0.48444408,0.099609375,-0.017787106,0.2488985
0.0,0.9999998,0.1,3,0.0001,3.718669891357422,0.24493670463562012,16.140060292349922,0.999808,5.884182e-15,0.0,2.4293041,-0.1879808,-0.07489778,0.11551233,0.15433565,0.49461976,0.12890625,0.024651848,0.29216006
7.450581e-09,0.9999998,0.1,4,0.0001,3.748467445373535,0.2219865918159485,16.26938995387819,0.999744,7.771561e-15,0.0,2.40696,0.0049012834,0.099887595,0.097393274,0.25898767,0.46902907,0.12695312,0.19403201,0.3148266
-2.9802322e-08,0.9999998,0.1,5,0.0001,3.73360013961792,0.4208175539970398,16.204861717091667,0.99968,9.048318e-15,0.0,2.3783689,-0.050287932,0.027050529,0.07971683,0.4929738,0.50798345,0.30566406,0.34767574,0.4008293
1.4901161e-08,0.99999976,0.1,6,0.0001,3.698582172393799,0.6543084383010864,16.052874012125862,0.999616,1.0491608e-14,0.0,2.353432,-0.024036562,0.018613502,0.045003496,0.3304339,0.5774062,0.234375,0.35578954,0.4559579
1.4901161e-08,0.99999976,0.1,7,0.0001,3.6938819885253906,0.6241876482963562,16.032473908530342,0.999552,8.770762e-15,0.0,2.3344288,0.15344608,0.20044845,0.0493368,0.39201096,0.5124012,0.3203125,0.3252988,0.46402708
-2.2351742e-08,0.9999997,0.1,8,0.0001,3.722683906555176,0.5771237313747406,16.157482233312393,0.999488,6.6092964e-15,0.0,2.2556605,0.15430287,0.21157573,0.05952853,0.5457966,0.5089524,0.41015625,0.49937466,0.49630055
-1.4901161e-08,0.99999976,0.1,9,0.0001,3.7967007160186768,0.663334995508194,16.47873574660884,0.999424,7.8825835e-15,0.0,2.2878666,-0.016820777,0.02917953,0.048288174,0.6033907,0.5050375,0.3955078,0.5405427,0.48967418
-7.450581e-09,0.99999964,0.1,10,0.0001,3.742666006088257,0.7719769775867462,16.24421009586917,0.99936,7.636253e-15,0.0,2.2327297,-0.025604796,0.006740641,0.034578167,0.515682,0.58271646,0.3046875,0.5244975,0.5488685
0.0,0.9999996,0.1,11,0.0001,3.6760056018829346,0.8068909794092178,15.954885424839127,0.999296,9.0621954e-15,0.0,2.248128,-0.02935315,0.0040390305,0.035640307,0.715726,0.5577529,0.4423828,0.7084861,0.5400896
0.0,0.9999995,0.1,12,0.0001,3.751187324523926,0.8214801549911499,16.281194984912872,0.999232,1.08558995e-14,0.0,2.1784623,0.038392495,0.0625096,0.026295561,0.6030921,0.54847467,0.4423828,0.65005714,0.4971364
-1.1175871e-08,0.9999997,0.1,13,0.0001,3.728502035140991,0.8006215542554855,16.182734527521664,0.999168,8.90954e-15,0.0,2.2287328,-0.09356134,-0.06733015,0.028459916,0.43325567,0.5832752,0.4111328,0.42241228,0.56028
-7.450581e-09,0.9999997,0.1,14,0.0001,3.739398717880249,0.7452548742294312,16.230029157466358,0.999104,8.978929e-15,0.0,2.186936,-0.19062951,-0.13600954,0.05680691,0.5662898,0.53137475,0.50390625,0.48144323,0.49462327
7.450581e-09,0.99999946,0.1,15,0.0001,3.7653465270996094,0.9001282379031181,16.342649857203167,0.99904,7.896461e-15,0.0,2.2170668,0.018898781,0.03719212,0.020510407,0.35679054,0.6149992,0.28710938,0.38397032,0.5731133
7.450581e-09,0.99999946,0.1,16,0.0001,3.7101993560791016,0.905843086540699,16.103295816315544,0.998976,7.2303274e-15,0.0,2.2209527,-0.09602694,-0.081946895,0.016300997,0.34660134,0.6329411,0.29785156,0.37534848,0.6018144
-1.4901161e-08,0.9999994,0.1,17,0.0001,3.748018264770508,0.9326082319021225,16.267440385288662,0.998912,8.631984e-15,0.0,2.1970682,-0.14883211,-0.13919644,0.011832748,0.29170662,0.64997673,0.30664062,0.31548068,0.6468423
3.3527613e-08,0.9999993,0.1,18,0.0001,3.739884853363037,0.9392490535974503,16.232139120499294,0.998848,8.840151e-15,0.0,2.2166429,-0.14857474,-0.13914214,0.011649235,0.18708372,0.6363567,0.17578125,0.23852721,0.62355584
